"","Episode","Series","NChars","N_F"
"339","EPMA0000018802","DS9",13,4
"340","EPMA0000000972","DS9",15,4
"341","EPMA0000000971","DS9",9,2
"342","EPMA0000094399","DS9",15,3
"343","EPMA0000000882","DS9",9,3
"344","EPMA0000000960","DS9",20,5
"345","EPMA0000000956","DS9",16,7
"346","EPMA0000014821","DS9",14,3
"347","EPMA0000000904","DS9",4,0
"348","EPMA0000000896","DS9",15,5
"349","EPMA0000001000","DS9",14,4
"350","EPMA0000006778","TOS",2,0
"351","EPMA0000000461","TOS",8,0
"352","EPMA0000000470","TOS",12,1
"353","EPMA0000000446","TOS",7,1
"354","EPMA0000006766","TOS",4,1
"355","EPMA0000006767","TOS",10,0
"356","EPMA0000000455","TOS",7,0
"357","EPMA0000000442","TOS",7,0
"358","EPMA0000000464","TOS",11,2
"359","EPMA0000000463","TOS",11,3
"360","EPMA0000000134","TOS",8,0
"361","EPMA0000000431","TOS",2,0
"362","EPMA0000000481","TOS",14,2
"363","EPMA0000000492","TOS",5,0
"364","EPMA0000000444","TOS",7,0
"365","EPMA0000000480","TOS",14,2
"366","EPMA0000000458","TOS",10,0
"367","EPMA0000000468","TOS",13,1
"368","EPMA0000000466","TOS",14,1
"369","EPMA0000000473","TOS",7,0
"370","EPMA0000000456","TOS",7,1
"371","EPMA0000000443","TOS",9,0
"372","EPMA0000000435","TOS",8,0
"373","EPMA0000000441","TOS",6,0
"374","EPMA0000006771","TOS",7,1
"375","EPMA0000000399","TOS",8,0
"376","EPMA0000000479","TOS",12,2
"377","EPMA0000000453","TOS",8,0
"378","EPMA0000000016","TOS",3,0
"379","EPMA0000000449","TOS",7,0
"380","EPMA0000000447","TOS",6,0
"381","EPMA0000000459","TOS",12,2
"382","EPMA0000000457","TOS",12,2
"383","EPMA0000000454","TOS",8,0
"384","EPMA0000000450","TOS",4,0
"385","EPMA0000000482","TOS",12,2
"386","EPMA0000000021","TOS",5,1
"387","EPMA0000000452","TOS",7,1
"388","EPMA0000074816","TOS",7,1
"389","EPMA0000000485","TOS",11,1
"390","EPMA0000000494","TOS",11,3
"391","EPMA0000000472","TOS",9,0
"392","EPMA0000000478","TOS",4,0
"393","EPMA0000000460","TOS",6,0
"394","EPMA0000000484","TOS",1,0
"395","EPMA0000006769","TOS",6,0
"396","EPMA0000000462","TOS",7,0
"397","EPMA0000000469","TOS",7,0
"398","EPMA0000000476","TOS",6,0
"399","EPMA0000000433","TOS",5,0
"400","EPMA0000000423","TOS",4,0
"401","EPMA0000006776","TOS",7,1
"402","EPMA0000000474","TOS",7,0
"403","EPMA0000000439","TOS",5,0
"404","EPMA0000000432","TOS",6,0
"405","EPMA0000000436","TOS",5,0
"406","EPMA0000062225","TOS",6,0
"407","EPMA0000000427","TOS",5,0
"408","EPMA0000000486","TOS",12,3
"409","EPMA0000000489","TOS",13,2
"410","EPMA0000006774","TOS",12,2
"411","EPMA0000000426","TOS",6,0
"412","EPMA0000000490","TOS",9,1
"413","EPMA0000000477","TOS",11,3
"414","EPMA0000000448","TOS",8,0
"415","EPMA0000000451","TOS",5,0
"416","EPMA0000000438","TOS",4,0
"417","EPMA0000196948","TOS",6,0
"418","EPMA0000006775","TOS",15,3
"419","EPMA0000000471","TOS",5,0
"420","EPMA0000006768","TOS",6,0
"421","EPMA0000000437","TOS",9,2
"422","EPMA0000006777","TOS",6,0
"423","EPMA0000000445","TOS",8,0
"424","EPMA0000000434","TOS",3,0
"425","EPMA0000000465","TOS",11,1
"426","EPMA0000000475","TOS",5,0
"427","EPMA0000000487","TOS",5,0
"428","EPMA0000000493","TOS",3,0
"429","EPMA0000006770","TOS",3,0
"430","EPMA0000001624","VOY",12,3
"431","EPMA0000001576","VOY",16,7
"432","EPMA0000001495","VOY",14,6
"433","EPMA0000001544","VOY",16,7
"434","EPMA0000001485","VOY",10,2
"435","EPMA0000001492","VOY",7,2
"436","EPMA0000001566","VOY",11,5
"437","EPMA0000001601","VOY",13,4
"438","EPMA0000001581","VOY",13,5
"439","EPMA0000001623","VOY",10,2
"440","EPMA0000103438","VOY",18,6
"441","EPMA0000001562","VOY",12,4
"442","EPMA0000001481","VOY",17,4
"443","EPMA0000001586","VOY",14,6
"444","EPMA0000001510","VOY",12,4
"445","EPMA0000001550","VOY",9,3
"446","EPMA0000001536","VOY",9,3
"447","EPMA0000001573","VOY",11,3
"448","EPMA0000001499","VOY",15,4
"449","EPMA0000001575","VOY",17,4
"450","EPMA0000001518","VOY",13,4
"451","EPMA0000001617","VOY",16,3
"452","EPMA0000001572","VOY",14,6
"453","EPMA0000001559","VOY",18,7
"454","EPMA0000001579","VOY",10,3
"455","EPMA0000001546","VOY",10,3
"456","EPMA0000001615","VOY",14,3
"457","EPMA0000001567","VOY",9,3
"458","EPMA0000001602","VOY",12,4
"459","EPMA0000001538","VOY",11,3
"460","EPMA0000001502","VOY",16,4
"461","EPMA0000001480","VOY",11,3
"462","EPMA0000051274","VOY",8,1
"463","EPMA0000001570","VOY",14,5
"464","EPMA0000002136","VOY",13,4
"465","EPMA0000001543","VOY",17,6
"466","EPMA0000001459","VOY",23,4
